Company Name,BSE id,NSE id
20 Microns Limited,20MICRONS,
3i Infotech Limited,3IINFOTECH,
3M India Limited,3MINDIA,
8K Miles Software Services Limited,8KMILES,
A2Z INFRA ENGINEERING LIMITED,A2ZINFRA,
Aarti Drugs Limited,AARTIDRUGS,
Aarti Industries Limited,AARTIIND,
Aarvee Denims & Exports Limited,AARVEEDEN,
Aban Offshore Limited,ABAN,
ABB India Limited,ABB,ABB
Abbott India Limited,ABBOTINDIA,
Aditya Birla Fashion and Retail Limited,ABFRL,
ABG Shipyard Limited,ABGSHIP,
Aditya Birla Nuvo Limited,ABIRLANUVO,
ACC Limited,ACC,
Accelya Kale Solutions Limited,ACCELYA,
Action Construction Equipment Limited,ACE,
Acropetal Technologies Limited,ACROPETAL,
Adani Enterprises Limited,ADANIENT,
Adani Ports and Special Economic Zone Limited,ADANIPORTS,
Adani Power Limited,ADANIPOWER,
Adani Transmission Limited,ADANITRANS,
ADF Foods Limited,ADFFOODS,
Adhunik Metaliks Limited,ADHUNIK,
Adi Finechem Limited,ADI,
Adlabs Entertainment Limited,ADLABS,
Ador Welding Limited,ADORWELD,
Allied Digital Services Limited,ADSL,
Advani Hotels & Resorts (India) Limited,ADVANIHOTR,
Advanta Limited,ADVANTA,ADVANTA
Aegis Logistics Limited,AEGISCHEM,
Accel Frontline Limited,AFL,
Agarwal Industrial Corporation Limited,AGARIND,
AGC Networks Limited,AGCNET,AGCNET
Agri-Tech (India) Limited,AGRITECH,
Agro Dutch Industries Limited,AGRODUTCH,
Asian Hotels (East) Limited,AHLEAST,
Ahluwalia Contracts (India) Limited,AHLUCONT,
Asian Hotels (West) Limited,AHLWEST,
AIA Engineering Limited,AIAENG,
AI Champdany Industries Limited,AICHAMP,
Ashapura Intimates Fashion Limited,AIFL,
Alstom India Limited,AIL,
Ajanta Pharma Limited,AJANTPHARM,
Ajmera Realty & Infra India Limited,AJMERA,
Aksh Optifibre Limited,AKSHOPTFBR,
Akzo Nobel India Limited,AKZOINDIA,AKZOINDIA
Alankit Limited,ALANKIT,
Allahabad Bank,ALBK,
Alchemist Limited,ALCHEM,
Alembic Limited,ALEMBICLTD,
Alicon Castalloy Limited,ALICON,ALICON
Alkali Metals Limited,ALKALI,
Alkem Laboratories Limited,ALKEM,
Alkyl Amines Chemicals Limited,ALKYLAMINE,
Allcargo Logistics Limited,ALLCARGO,
Allsec Technologies Limited,ALLSEC,
Almondz Global Securities Limited,ALMONDZ,
Alok Industries Limited,ALOKTEXT,
Alpa Laboratories Limited,ALPA,
Alphageo (India) Limited,ALPHAGEO,
Alps Industries Limited,ALPSINDUS,
Alstom T&D India Limited,ALSTOMT&D,
Amara Raja Batteries Limited,AMARAJABAT,
Ambika Cotton Mills Limited,AMBIKCO,
Ambuja Cements Limited,AMBUJACEM,
AMD Industries Limited,AMDIND,
Amrutanjan Health Care Limited,AMRUTANJAN,
Amtek Auto Limited,AMTEKAUTO,
Advance Metering Technology Limited,AMTL,
The Anandam Rubber Company Limited,ANANDAMRUB,
Anant Raj Limited,ANANTRAJ,
Andhra Bank,ANDHRABANK,
Andhra Cements Limited,ANDHRACEMT,
The Andhra Sugars Limited,ANDHRSUGAR,
ANG Industries Limited,ANGIND,ANGIND
Anik Industries Limited,ANIKINDS,
Ankit Metal & Power Limited,ANKITMETAL,
Ansal Properties & Infrastructure Limited,ANSALAPI,
Ansal Housing and Construction Limited,ANSALHSG,
Antarctica Limited,ANTGRAPHIC,
Apar Industries Limited,APARINDS,
Apcotex Industries Limited,APCOTEXIND,
APL Apollo Tubes Limited,APLAPOLLO,
